Paper name,Method,source code,Pros,Cons,Loss function,Dataset,Metric,Result,Conclusion
An Explainable Framework for Detecting and Mitigating Prompt Injection in Chatbot and RAG Systems,"Lightweight guardrail middleware with multi-class prompt classification (TF-IDF+Logistic Regression or DistilBERT+LoRA), policy-driven action recommendation, and explainable risk attribution (SHAP for TF-IDF, Integrated Gradients for neural models)",Not publicly available (internal research),"Lightweight, near-zero cost, reproducible within 15 days, explainable AI components, multi-class classification covering 5 attack types, policy-driven mitigation","May require retraining for new attack variants, performance depends on quality and diversity of training data, limited to text-based prompts",Cross-entropy loss for classification,"Custom dataset curated from OWASP Prompt Injection Cheat Sheet covering benign, injection-direct, injection-indirect, data-exfiltration, and tool-misuse categories","Accuracy, precision, recall, F1-score for each class; robustness measured via paraphrasing, multilingual (Vietnamese/English), and noise perturbation tests",Effective detection and mitigation of prompt injection attacks with explainable insights; deployable as FastAPI endpoint with Gradio demo,"Effective prompt-injection defense is accessible without requiring large-scale infrastructure, demonstrating that lightweight solutions can provide strong security guarantees"
Defending Against Indirect Prompt Injection Attacks With Spotlighting,Spotlighting family of prompt engineering techniques to help LLMs distinguish between system instructions and injected instructions,Not specified in paper,"Minimal impact on NLP tasks, reduces attack success rate from >50% to <2%, simple to implement","Primarily focused on indirect prompt injection, may not cover all attack types",N/A (prompt engineering approach),Custom corpus of documents with indirect prompt injection attacks,"Attack success rate, task efficacy",Spotlighting reduces attack success rate from >50% to <2% with minimal impact on task performance,Spotlighting provides robust defense against indirect prompt injection with minimal detrimental impact to underlying NLP tasks
Defense Against Prompt Injection Attack by Leveraging Attack Techniques,Inverting prompt injection attack techniques to create defense methods by repeating attack process with original input instruction,Not specified in paper,"Training-free, leverages existing attack techniques for defense, outperforms existing training-free defenses","May not generalize to all attack variants, effectiveness depends on similarity between attack and defense techniques",N/A (training-free approach),Various prompt injection attack datasets,Attack success rate reduction,Defense techniques outperform existing training-free defense approaches,Prompt injection attack techniques can be leveraged for defensive purposes by inverting their intention
Defeating Prompt Injections by Design,CaMeL (Capabilities and Policies for Language Models) - creates protective system layer that extracts control and data flows from trusted queries,Not specified in paper,"Provides provable security, prevents data exfiltration, secures LLM even when underlying model is susceptible","May reduce task performance (77% vs 84% task completion in AgentDojo), requires system-level integration",N/A (system design approach),AgentDojo benchmark for LLM agent security,Task completion rate with provable security,CaMeL solves 77% of tasks with provable security (vs 84% with undefended system) in AgentDojo,"CaMeL provides robust defense against prompt injection by design, creating a protective layer around LLMs"
SecInfer: Preventing Prompt Injection via Inference-time Scaling,Inference-time scaling with system-prompt-guided sampling and target-task-guided aggregation,Not specified in paper,"Effective against existing and adaptive attacks, leverages additional compute at inference, no model retraining needed","Increased computational cost at inference, may increase latency",N/A (inference-time approach),Various prompt injection attack benchmarks,"Attack success rate, task performance",Effectively mitigates both existing and adaptive prompt injection attacks,SecInfer provides effective defense against prompt injection by leveraging inference-time scaling
Defending Against Prompt Injection With a Few DefensiveTokens,"DefensiveTokens - special tokens with embeddings optimized for security, inserted before LLM input",Available (mentioned in paper),"Test-time defense comparable to training-time approaches, flexible utility-security trade-off, minimal utility drop","Requires token embedding optimization, may not work for all model architectures",Defensive loss for token embedding optimization,Various prompt injection benchmarks,"Attack success rate, utility preservation",DefensiveTokens achieve security comparable to training-time defenses with minimal utility drop,DefensiveTokens enable flexible switching between state-of-the-art utility and near-state-of-the-art security at test time
PROMPTARMOR: AN ESSENTIAL BASELINE FOR PROMPT INJECTION DEFENSES,Prompting off-the-shelf LLM with strong reasoning capabilities to detect and remove injected prompts,Not specified in current version,"Lightweight, easy to deploy, strong baseline for evaluating defenses, leverages modern LLM reasoning","Effectiveness depends on underlying LLM reasoning capabilities, may have false positives/negatives",N/A (prompting approach),Various prompt injection attack datasets,"False positive rate, false negative rate",PromptArmor using GPT-4o achieves low false positive and false negative rates,Prompting strong LLMs should be reconsidered as important baseline for evaluating prompt injection defenses
A Multi-Agent LLM Defense Pipeline Against Prompt Injection Attacks,"Multi-agent pipeline with specialized agents for detection, isolation, and mitigation of prompt injections",Not specified,"Comprehensive defense strategy, leverages agent specialization, can handle various attack types","Increased system complexity, potential latency from inter-agent communication",Varies by agent (typically cross-entropy for classification agents),Multi-domain prompt injection datasets,"Detection accuracy, mitigation effectiveness, system robustness",Effective detection and mitigation of diverse prompt injection attacks through agent collaboration,Multi-agent approach provides robust defense against prompt injection by leveraging specialized agent capabilities
Formalizing and Benchmarking Prompt Injection Attacks and Defenses,"Framework to formalize PI attacks and defenses, systematic evaluation on 5 attacks and 10 defenses with 10 LLMs and 7 tasks",https://github.com/liu00222/Open-Prompt-Injection,"Provides common benchmark for quantitative evaluation, bridges gap between case studies and systematic understanding",Focuses on evaluation framework rather than proposing new defense technique,Varies by defense method (cross-entropy for classification-based defenses),Custom benchmark covering 5 PI attack types and 7 downstream tasks,"Attack Success Rate (ASR), Benign Answering Rate (BAR)",Systematic evaluation of 10 defenses showing varying effectiveness across attack types and tasks,Provides common benchmark and framework for future PI attack and defense research
Can Indirect Prompt Injection Attacks Be Detected and Removed?,"Framework to formalize PI attacks and defenses, systematic evaluation on 5 attacks and 10 defenses with 10 LLMs and 7 tasks; Code available at https://github.com/liu00222/Open-Prompt-Injection",https://github.com/liu00222/Open-Prompt-Injection (uses same repo),"Addresses indirect PI specifically, provides both detection and removal mechanisms, constructs benchmark dataset","May require training custom detection/removal models, focused on indirect PI only",Cross-entropy for detection model training,Crafted benchmark dataset for indirect PI attack evaluation,"Detection accuracy, removal effectiveness, Attack Success Rate (ASR)",Shows feasibility of detecting and removing indirect PI attacks with proposed methods,Indirect prompt injection attacks can be effectively detected and removed using segmentation/extraction methods
